ID;FECHA;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD_KM;MAGNITUD_MI;DEPARTAMENTO;MUNICIPIO;CANTIDAD;DÍA;MES
S_01;28/07/1994;11:55:12;4.725;-75.851;19.7;2.7;VALLE DEL CAUCA;CARTAGO;1;28;7
S_02;3/09/1995;8:45:40;4.681;-75.978;14.9;2.8;VALLE DEL CAUCA;CARTAGO;1;3;9
S_03;4/05/1996;9:25:23;4.764;-75.845;76.8;1.8;VALLE DEL CAUCA;CARTAGO;1;4;5
S_04;16/05/2000;12:40:30;4.715;-75.886;0.7;2.7;VALLE DEL CAUCA;CARTAGO;1;16;5
S_05;1/08/2000;4:23:36;4.645;-75.898;14.9;2.3;VALLE DEL CAUCA;CARTAGO;1;1;8
S_06;17/04/2001;6:44:00;4.71;-75.852;17.9;1.6;VALLE DEL CAUCA;CARTAGO;1;17;4
S_07;5/06/2001;8:07:33;4.691;-75.956;4.1;2.8;VALLE DEL CAUCA;CARTAGO;1;5;6
S_08;13/06/2001;2:55:35;4.732;-75.915;18;1.9;VALLE DEL CAUCA;CARTAGO;1;13;6
S_09;2/08/2005;7:35:05;4.686;-75.937;21.9;2.4;VALLE DEL CAUCA;CARTAGO;1;2;8
S_10;2/09/2006;13:19:05;4.764;-75.906;133.7;2.9;VALLE DEL CAUCA;CARTAGO;1;2;9
S_11;19/09/2006;23:19:27;4.674;-75.902;2.1;2.8;VALLE DEL CAUCA;CARTAGO;1;19;9
S_12;12/01/2007;12:57:35;4.685;-75.899;143;3.4;VALLE DEL CAUCA;CARTAGO;1;12;1
S_13;3/06/2008;17:47:43;4.757;-75.896;60.9;2.8;VALLE DEL CAUCA;CARTAGO;1;3;6
S_14;16/12/2008;17:35:14;4.732;-75.897;120;1.7;VALLE DEL CAUCA;CARTAGO;1;16;12
S_15;16/09/2009;3:37:39;4.68;-75.966;20.1;2.1;VALLE DEL CAUCA;CARTAGO;1;16;9
S_16;5/01/2010;3:34:03;4.75;-75.948;1.9;1.6;VALLE DEL CAUCA;CARTAGO;1;5;1
S_17;3/03/2010;7:30:40;4.705;-75.893;149.7;1.6;VALLE DEL CAUCA;CARTAGO;1;3;3
S_18;15/03/2010;21:52:33;4.755;-75.944;4;2.7;VALLE DEL CAUCA;CARTAGO;1;15;3
S_19;2/04/2010;1:09:33;4.787;-75.885;14.8;1.4;VALLE DEL CAUCA;CARTAGO;1;2;4
S_20;7/07/2010;17:10:59;4.688;-75.928;26.7;1.6;VALLE DEL CAUCA;CARTAGO;1;7;7
S_21;31/07/2010;9:39:59;4.712;-75.911;117.8;2.5;VALLE DEL CAUCA;CARTAGO;1;31;7
S_22;11/01/2011;9:18:45;4.766;-75.848;111.4;1.7;VALLE DEL CAUCA;CARTAGO;1;11;1
S_23;1/02/2011;6:27:11;4.781;-75.815;64.5;1.4;VALLE DEL CAUCA;CARTAGO;1;1;2
S_24;21/04/2012;5:54:01;4.717;-75.89;12.9;2.1;VALLE DEL CAUCA;CARTAGO;1;21;4
S_25;10/12/2012;5:57:53;4.787;-75.839;62.9;1.1;VALLE DEL CAUCA;CARTAGO;1;10;12
S_26;29/12/2012;1:53:19;4.78;-75.919;31.4;2.4;VALLE DEL CAUCA;CARTAGO;1;29;12
S_27;21/07/2013;18:26:47;4.668;-75.897;0;1.8;VALLE DEL CAUCA;CARTAGO;1;21;7
S_28;30/12/2013;7:36:21;4.765;-75.947;128.3;1.8;VALLE DEL CAUCA;CARTAGO;1;30;12
